species,origin,my,cohort,J,A,SAR
Chinook,both,2006,1,2761,9,0.33
Chinook,both,2007,1,2859,20,0.7
Chinook,both,2008,1,536,15,2.8
Chinook,both,2009,1,3051,28,0.92
Chinook,both,2010,1,NA,NA,NA
Chinook,both,2011,1,6505,17,0.26
Chinook,both,2012,1,8503,75,0.88
Chinook,both,2013,1,3799,45,1.18
Chinook,both,2014,1,4277,25,0.58
Chinook,both,2006,2,6858,40,0.58
Chinook,both,2007,2,9243,67,0.72
Chinook,both,2008,2,7481,181,2.42
Chinook,both,2009,2,20196,235,1.16
Chinook,both,2010,2,7059,39,0.55
Chinook,both,2011,2,18204,42,0.23
Chinook,both,2012,2,30743,260,0.85
Chinook,both,2013,2,5269,57,1.08
Chinook,both,2014,2,28733,131,0.46
Chinook,both,2006,3,20969,134,0.64
Chinook,both,2007,3,21345,97,0.45
Chinook,both,2008,3,19595,400,2.04
Chinook,both,2009,3,10833,97,0.9
Chinook,both,2010,3,6849,55,0.8
Chinook,both,2011,3,19313,51,0.26
Chinook,both,2012,3,5743,41,0.71
Chinook,both,2013,3,15062,125,0.83
Chinook,both,2014,3,15672,37,0.24
Chinook,both,2006,4,4094,36,0.88
Chinook,both,2007,4,2318,10,0.43
Chinook,both,2008,4,5326,73,1.37
Chinook,both,2009,4,10105,77,0.76
Chinook,both,2010,4,5483,41,0.75
Chinook,both,2011,4,7185,29,0.4
Chinook,both,2012,4,3151,21,0.67
Chinook,both,2013,4,1650,9,0.55
Chinook,both,2014,4,3450,4,0.12
Chinook,hatchery,2006,1,"2,067",3,0.15
Chinook,hatchery,2007,1,"1,837",9,0.49
Chinook,hatchery,2008,1,NA,NA,NA
Chinook,hatchery,2009,1,"2,104",7,0.33
Chinook,hatchery,2010,1,NA,NA,NA
Chinook,hatchery,2011,1,"3,921",7,0.18
Chinook,hatchery,2012,1,"6,520",38,0.58
Chinook,hatchery,2013,1,"2,671",27,1.01
Chinook,hatchery,2014,1,"1,976",7,0.35
Chinook,hatchery,2006,2,"5,226",27,0.52
